graph,target_c,seed,raw_conflicts,repaired_conflicts,verified_conflicts,colors_used,coloring_file,valid_coloring
g6,11,0,17,0,0,11,g6_c11_seed0_robustness_coloring.csv,True
g12,35,2,28,0,0,35,g12_c35_seed2_robustness_coloring.csv,True
