graph,num_colors,seed,num_edges,raw_conflicts,repaired_conflicts,raw_conflict_rate,repaired_conflict_rate,best_epoch,best_loss,success
g6,8,0,1056,48,25,0.045454545454545456,0.023674242424242424,300,0.045493606477975845,0
g6,8,1,1056,52,26,0.04924242424242424,0.02462121212121212,325,0.04928198829293251,0
g6,8,2,1056,53,26,0.050189393939393936,0.02462121212121212,50,0.0501919649541378,0
g6,8,3,1056,56,28,0.05303030303030303,0.026515151515151516,25,0.053473763167858124,0
g6,8,4,1056,45,27,0.04261363636363636,0.02556818181818182,200,0.04268805310130119,0
g6,9,0,1056,38,10,0.03598484848484849,0.00946969696969697,125,0.03601287677884102,0
g6,9,1,1056,40,13,0.03787878787878788,0.01231060606060606,350,0.038021985441446304,0
g6,9,2,1056,44,12,0.041666666666666664,0.011363636363636364,50,0.041670460253953934,0
g6,9,3,1056,44,13,0.041666666666666664,0.01231060606060606,50,0.04167397692799568,0
g6,9,4,1056,44,11,0.041666666666666664,0.010416666666666666,25,0.04171366989612579,0
g6,10,0,1056,36,6,0.03409090909090909,0.005681818181818182,25,0.03411785885691643,0
g6,10,1,1056,36,5,0.03409090909090909,0.004734848484848485,150,0.03415634483098984,0
g6,10,2,1056,32,2,0.030303030303030304,0.001893939393939394,300,0.03034885972738266,0
g6,10,3,1056,34,2,0.032196969696969696,0.001893939393939394,25,0.03228263929486275,0
g6,10,4,1056,35,1,0.03314393939393939,0.000946969696969697,75,0.03315332904458046,0
g6,11,0,1056,17,0,0.016098484848484848,0.0,50,0.01610076054930687,1
g6,11,1,1056,24,1,0.022727272727272728,0.000946969696969697,300,0.02278665266931057,0
g6,11,2,1056,27,1,0.02556818181818182,0.000946969696969697,200,0.025870978832244873,0
g6,11,3,1056,26,0,0.02462121212121212,0.0,25,0.024735257029533386,1
g6,11,4,1056,26,1,0.02462121212121212,0.000946969696969697,100,0.024650251492857933,0
g6,12,0,1056,18,0,0.017045454545454544,0.0,25,0.017080629244446754,1
g6,12,1,1056,18,0,0.017045454545454544,0.0,425,0.017086517065763474,1
g6,12,2,1056,26,0,0.02462121212121212,0.0,400,0.024654239416122437,1
g6,12,3,1056,25,0,0.023674242424242424,0.0,25,0.023738138377666473,1
g6,12,4,1056,22,0,0.020833333333333332,0.0,50,0.020839519798755646,1
g12,20,0,3973,52,23,0.013088346337780015,0.005789076264787314,25,0.013393190689384937,0
g12,20,1,3973,62,23,0.015605336018122326,0.005789076264787314,350,0.015664180740714073,0
g12,20,2,3973,56,24,0.01409514220991694,0.006040775232821546,25,0.014384730719029903,0
g12,20,3,3973,53,24,0.013340045305814245,0.006040775232821546,25,0.01340415421873331,0
g12,20,4,3973,44,23,0.011074754593506167,0.005789076264787314,25,0.011179688386619091,0
g12,21,0,3973,50,20,0.012584948401711553,0.005033979360684621,50,0.01259355153888464,0
g12,21,1,3973,57,24,0.01434684117795117,0.006040775232821546,225,0.014473166316747665,0
g12,21,2,3973,48,23,0.012081550465643092,0.005789076264787314,25,0.012153349816799164,0
g12,21,3,3973,45,21,0.011326453561540398,0.005285678328718852,25,0.011484726332128048,0
g12,21,4,3973,41,23,0.010319657689403473,0.005789076264787314,25,0.010606931522488594,0
g12,22,0,3973,53,22,0.013340045305814245,0.0055373772967530835,25,0.013422448188066483,0
g12,22,1,3973,48,21,0.012081550465643092,0.005285678328718852,50,0.012087943032383919,0
g12,22,2,3973,42,21,0.010571356657437704,0.005285678328718852,25,0.010670253075659275,0
g12,22,3,3973,42,21,0.010571356657437704,0.005285678328718852,25,0.010708034969866276,0
g12,22,4,3973,49,21,0.012333249433677322,0.005285678328718852,25,0.01237663347274065,0
g12,23,0,3973,55,19,0.013843443241882709,0.00478228039265039,25,0.013893813826143742,0
g12,23,1,3973,43,20,0.010823055625471936,0.005033979360684621,25,0.01097659021615982,0
g12,23,2,3973,47,18,0.01182985149760886,0.004530581424616159,25,0.011903088539838791,0
g12,23,3,3973,37,20,0.00931286181726655,0.005033979360684621,25,0.009441130794584751,0
g12,23,4,3973,48,17,0.012081550465643092,0.004278882456581928,25,0.01214328221976757,0
g12,24,0,3973,39,17,0.009816259753335011,0.004278882456581928,25,0.010088611394166946,0
g12,24,1,3973,40,17,0.010067958721369242,0.004278882456581928,25,0.010106428526341915,0
g12,24,2,3973,41,19,0.010319657689403473,0.00478228039265039,50,0.01032937690615654,0
g12,24,3,3973,38,15,0.00956456078530078,0.003775484520513466,50,0.00957067683339119,0
g12,24,4,3973,44,15,0.011074754593506167,0.003775484520513466,25,0.011106699705123901,0
g12,25,0,3973,48,17,0.012081550465643092,0.004278882456581928,25,0.012172744609415531,0
g12,25,1,3973,35,15,0.008809463881198087,0.003775484520513466,25,0.00886528566479683,0
g12,25,2,3973,42,16,0.010571356657437704,0.004027183488547697,25,0.010652400553226471,0
g12,25,3,3973,28,15,0.00704757110495847,0.003775484520513466,50,0.007055026013404131,0
g12,25,4,3973,32,14,0.008054366977095394,0.003523785552479235,25,0.008103023283183575,0
g12,26,0,3973,47,17,0.01182985149760886,0.004278882456581928,25,0.01187110785394907,0
g12,26,1,3973,45,14,0.011326453561540398,0.003523785552479235,25,0.011356503702700138,0
g12,26,2,3973,32,15,0.008054366977095394,0.003775484520513466,50,0.008063381537795067,0
g12,26,3,3973,36,16,0.009061162849232317,0.004027183488547697,25,0.009250650182366371,0
g12,26,4,3973,32,15,0.008054366977095394,0.003775484520513466,25,0.00819319486618042,0
g12,27,0,3973,40,15,0.010067958721369242,0.003775484520513466,25,0.010619400069117546,0
g12,27,1,3973,38,13,0.00956456078530078,0.0032720865844450037,25,0.009594595991075039,0
g12,27,2,3973,37,15,0.00931286181726655,0.003775484520513466,25,0.00935379322618246,0
g12,27,3,3973,35,13,0.008809463881198087,0.0032720865844450037,25,0.009036542847752571,0
g12,27,4,3973,28,14,0.00704757110495847,0.003523785552479235,25,0.007137333042919636,0
g12,28,0,3973,43,14,0.010823055625471936,0.003523785552479235,25,0.01112198457121849,0
g12,28,1,3973,42,12,0.010571356657437704,0.003020387616410773,25,0.01060242298990488,0
g12,28,2,3973,37,13,0.00931286181726655,0.0032720865844450037,25,0.009343568235635757,0
g12,28,3,3973,30,13,0.007550969041026932,0.0032720865844450037,25,0.007750588469207287,0
g12,28,4,3973,32,11,0.008054366977095394,0.0027686886483765417,25,0.008106635883450508,0
g12,29,0,3973,42,13,0.010571356657437704,0.0032720865844450037,100,0.010797000490128994,0
g12,29,1,3973,32,8,0.008054366977095394,0.0020135917442738486,25,0.008103122003376484,0
g12,29,2,3973,34,8,0.008557764913163856,0.0020135917442738486,25,0.008592208847403526,0
g12,29,3,3973,29,10,0.0072992700729927005,0.0025169896803423106,25,0.007464566268026829,0
g12,29,4,3973,31,7,0.007802668009061163,0.0017618927762396174,25,0.00782740581780672,0
g12,30,0,3973,39,12,0.009816259753335011,0.003020387616410773,25,0.009863869287073612,0
g12,30,1,3973,29,6,0.0072992700729927005,0.0015101938082053865,25,0.007356952875852585,0
g12,30,2,3973,31,7,0.007802668009061163,0.0017618927762396174,25,0.007860494777560234,0
g12,30,3,3973,31,9,0.007802668009061163,0.0022652907123080794,25,0.007938503287732601,0
g12,30,4,3973,27,6,0.006795872136924239,0.0015101938082053865,25,0.006817446555942297,0
g12,31,0,3973,34,8,0.008557764913163856,0.0020135917442738486,25,0.00860079750418663,0
g12,31,1,3973,29,6,0.0072992700729927005,0.0015101938082053865,25,0.007323657628148794,0
g12,31,2,3973,30,6,0.007550969041026932,0.0015101938082053865,25,0.007588194217532873,0
g12,31,3,3973,31,8,0.007802668009061163,0.0020135917442738486,25,0.007928131148219109,0
g12,31,4,3973,31,2,0.007802668009061163,0.0005033979360684622,25,0.007824631407856941,0
g12,32,0,3973,40,8,0.010067958721369242,0.0020135917442738486,25,0.010098554193973541,0
g12,32,1,3973,28,6,0.00704757110495847,0.0015101938082053865,25,0.0070717125199735165,0
g12,32,2,3973,32,5,0.008054366977095394,0.0012584948401711553,25,0.008185381069779396,0
g12,32,3,3973,33,6,0.008306065945129625,0.0015101938082053865,25,0.008400732651352882,0
g12,32,4,3973,28,2,0.00704757110495847,0.0005033979360684622,25,0.00710458355024457,0
g12,33,0,3973,27,4,0.006795872136924239,0.0010067958721369243,25,0.0068420725874602795,0
g12,33,1,3973,32,3,0.008054366977095394,0.0007550969041026932,25,0.008104105480015278,0
g12,33,2,3973,29,2,0.0072992700729927005,0.0005033979360684622,25,0.007384158670902252,0
g12,33,3,3973,30,2,0.007550969041026932,0.0005033979360684622,50,0.007557190954685211,0
g12,33,4,3973,35,1,0.008809463881198087,0.0002516989680342311,25,0.009060143493115902,0
g12,34,0,3973,36,5,0.009061162849232317,0.0012584948401711553,25,0.009081517346203327,0
g12,34,1,3973,31,4,0.007802668009061163,0.0010067958721369243,25,0.007829786278307438,0
g12,34,2,3973,28,1,0.00704757110495847,0.0002516989680342311,50,0.007054338231682777,0
g12,34,3,3973,26,2,0.006544173168890007,0.0005033979360684622,50,0.006555286236107349,0
g12,34,4,3973,27,1,0.006795872136924239,0.0002516989680342311,25,0.006817086599767208,0
g12,35,0,3973,35,2,0.008809463881198087,0.0005033979360684622,25,0.008829334750771523,0
g12,35,1,3973,28,2,0.00704757110495847,0.0005033979360684622,25,0.007068431004881859,0
g12,35,2,3973,28,0,0.00704757110495847,0.0,25,0.00706087751314044,1
g12,35,3,3973,26,1,0.006544173168890007,0.0002516989680342311,25,0.0068451534025371075,0
g12,35,4,3973,27,0,0.006795872136924239,0.0,25,0.006812911946326494,1
g12,36,0,3973,28,0,0.00704757110495847,0.0,25,0.007149398326873779,1
g12,36,1,3973,25,0,0.006292474200855777,0.0,25,0.0063222860917449,1
g12,36,2,3973,23,0,0.005789076264787314,0.0,25,0.00582228833809495,1
g12,36,3,3973,26,0,0.006544173168890007,0.0,25,0.00660833390429616,1
g12,36,4,3973,25,0,0.006292474200855777,0.0,25,0.006309330463409424,1
